Date,Price,Open,High,Low,Vol.,Change %
1/2/2018,"10,696.20","10,273.20","10,696.20","10,212.70",19.00M,4.53%
1/3/2018,"10,595.50","10,716.30","10,817.00","10,555.20",18.30M,-0.94%
1/4/2018,"10,615.60","10,655.90","10,696.20","10,535.00",15.69M,0.19%
1/5/2018,"10,535.00","10,635.70","10,655.90","10,454.50",23.65M,-0.76%
1/8/2018,"11,058.80","10,514.90","11,058.80","10,494.70",22.19M,4.97%
1/9/2018,"11,159.50","11,119.20","11,280.30","10,716.30",21.48M,0.91%
1/10/2018,"11,179.60","11,078.90","11,320.60","10,998.30",15.96M,0.18%
1/11/2018,"11,340.80","11,179.60","11,441.50","11,078.90",23.64M,1.44%
1/12/2018,"11,078.90","11,441.50","11,602.60","11,038.60",26.51M,-2.31%
1/15/2018,"11,401.20","11,199.80","11,461.60","11,058.80",15.33M,2.91%
1/16/2018,"11,501.90","11,240.00","11,501.90","11,199.80",14.68M,0.88%
1/17/2018,"11,038.60","11,300.50","11,501.90","11,038.60",22.59M,-4.03%
1/18/2018,"11,280.30","10,958.00","11,280.30","10,837.20",13.23M,2.19%
1/19/2018,"11,199.80","11,401.20","11,401.20","11,179.60",15.54M,-0.71%
1/22/2018,"11,280.30","11,320.60","11,340.80","11,219.90",12.41M,0.72%
1/25/2018,"11,965.20","11,481.80","12,065.90","11,421.30",42.13M,6.07%
1/26/2018,"12,690.40","12,086.10","12,770.90","11,965.20",21.06M,6.06%
1/29/2018,"13,335.00","12,851.50","13,516.30","12,851.50",19.78M,5.08%
1/30/2018,"13,214.10","12,932.10","13,355.10","12,811.20",17.43M,-0.91%
1/31/2018,"12,851.50","12,891.80","13,173.80","12,831.40",20.51M,-2.74%
2/1/2018,"12,368.10","12,851.50","12,851.50","12,327.80",13.91M,-3.76%
2/2/2018,"12,488.90","12,368.10","12,730.70","12,327.80",13.06M,0.98%
2/5/2018,"11,683.20","12,206.90","12,287.50","11,642.90",15.97M,-6.45%
2/6/2018,"11,199.80","10,877.50","11,683.20","10,877.50",25.58M,-4.14%
2/7/2018,"11,763.80","11,844.30","11,884.60","11,602.60",11.85M,5.04%
2/8/2018,"11,401.20","11,683.20","11,743.60","11,401.20",4.75M,-3.08%
2/9/2018,"11,642.90","10,998.30","11,683.20","10,958.00",10.35M,2.12%
2/12/2018,"12,448.70","12,086.10","12,448.70","11,884.60",10.37M,6.92%
2/13/2018,"12,690.40","12,569.50","12,851.50","12,569.50",12.10M,1.94%
2/21/2018,"12,770.90","12,770.90","13,053.00","12,650.10",10.91M,0.63%
